Title,Category,Ref_Num,Maker_Artist,Materials,Measurements,Time Period,Additional Information
Missed Lunch Today,Sculptures,00701,Jack Richardson,Bronze,13.5 x 9 x 8 in,,sculpture; mountain lion; rabbit; inscription
Ombretta,Sculptures,00516,Angelo Basso,Bronze,24.5 in,,sculpture; nude woman; #80
Ankara Dancer,Sculptures,00660,Claire Colinet,Bronze; marble; ivory,25 in,,sculpture; woman; dancing; hat; #144/190
Square Abstract Marble Sculpture,Sculptures,00565,Henry Klar; Gloria Klar,Marble,42 x 42 x 7 in,20th Century,sculpture; abstract art; black; circle; triangle; square; no markings
From Broncs to Bronzes,Sculptures,00724,Grant Speed,Bronze,7 3/4 x 5 3/4 x 5 5/8 in,,sculpture; cowboy; man; standing; hat; chaps; lasso; #19/100
St. Jean l'Evangeliste,Sculptures,00958,"Alphonse Peters, van Luik",Oak gilt,87.00 cm,,statue; religious; woman; standing; robe; partially gilded
Lord Byron,Sculptures,00668,,Bronze,,1927,sculpture; bust; portrait; man; signed
St. Druon,Sculptures,00958,,Wood polychrome,62.00 cm,18th Century,statue; religious; man; standing; hat; staff
Reclining Woman No. 1,Sculptures,00822,Henry Moore,Bronze,9.75 in,1980,sculpture; modern art; nude woman; Inscribed Moore and stamped 7/9
Sunlight,Sculptures,00953,Heinz Warneke,plaster metal,7 x 9 in,circa 1951,sculpture; sun; flowers
Raging Violet Maachia with Aqua Lip Wrap,Sculptures,00872,Dale Chihuly,Glass,"17 x 20 in, Diameter: 25 in",,Sculpture
Le Masque,Sculptures,00498,Erte,Bronze,18.5 x 7.5 x 4 in,1986,sculpture; art deco; woman; standing; gown; mask; signed by Erte; #234 of 375
French Bisque Figures,Sculptures,00926,France,Bisque,12 in,19th Century,sculpture
Comin-In,Sculptures,00711,Mike Hollern,Bronze,10 x 10 in,,sculpture; pheasant; flying; Signed; #5 of 36
St. Batolome’s Knife,Sculptures,00464,,Silver,12 in length,20th century,
Vanity,Sculptures,00908,Adolf Sehring,Bronze,,1983,"Bronze sculpture; nude woman; sitting; ""A. Sehring"" #4 of 40"
Hydrography,Sculptures,00953,Heinz Warneke,Metal plaster,7 x 10 in,circa 1951,"Sculpture; anchor; water; no signature; last seen on 03/27/1987, discovered missing in 1988."
Danseuse bras baisse | Dancer Arm Out,Sculptures,01005,Lalique,Crystal,9 in,1960,"Sculpture; nude woman; standing; dancing; engraved ""Lalique France"""
Atlas,Sculptures,00355,Giancarlo Biagi,Bronze,14.5 in,1982,Sculpture; bronze; original edition; Foundry Mark
Lotus,Sculptures,00108,Mexico; Olmec,Stone,3.75 in x 2.5 in x 2.5 in,1000-500 B.C.,Sculpture; figure; seated; missing arm; missing head
J Bird,Sculptures,00881,Vistosi,Glass,,1940s - 1950s,Sculpture; modern art; bird
Charging Buffalo,Sculptures,00200,Gregory Perillo,Bronze,11 in,1970,Sculpture; Buffalo
Shield,Sculptures,00304,M. L. Snowden,"Bronze, patina, granite",31 x 28 x 18 in,2001,"Sculpture; ""AP 4"" (4/10) with title and artist's name"
Legend of Judith,Sculptures,00545,Fritz White,Bronze,24 x 24 in,,"sculpture; nude woman; kneeling; figure; reclining; cloak; Signed ""Fritz White""; #6/50"
Don Quixote and Sancho Panza,Sculptures,00503,Z. Kiss,Bronze,10 in,,sculpture; portrait; signed on base
Bear With Two Cubs,Sculptures,00785,Melvin Johanson,Bronze,15 in,1980,sculpture; bear; cubs
Terracotta Basket With Blanket Shard,Sculptures,00159,Dale Chihuly,Glass,Height: 8 in.; Diameter: 6 in.,1980,sculpture; vase; Signed and dated 1980
Gryphon,Sculptures,01049,,Metal,18 x 8.4 cm,,sculpture; serpent
Reclining Man,Sculptures,00927,Henry Moore,Bronze,7 x 3.5 x 2.75 in,1945,sculpture; modern art; man; reclining; One of five castings made.
Blue Bird,Sculptures,00881,Vistosi,Glass,,,sculpture; modern art; bird
"Pre-Columbian Figure, seated",Sculptures,00409,Pre-Columbian,Rock crystal,,,sculpture; Pre-Columbian; figure; seated
Bronze Figure on Black Marble Base,Sculptures,00565,Henry Klar,Bronze; Marble,18 in,20th Century,"sculpture; modern art; figure; standing; Signed ""Henry K"""
Buccellati Giraffe,Sculptures,00571,Buccellati,Silver; Garnet,20 in,,sculpture; giraffe
Black and Green Marble Sculpture,Sculptures,00565,Henry Klar; Gloria Klar,Marble,18 x 6 in,20th Century,sculpture; abstract art; black; green; No markings.
Tori,Sculptures,01151,Vicki Cheryl Reid,Bronze from mold,,1994,Vicki Winters Reid etched in back of statue
Rock Crystal Birds Sculpture,Sculptures,00911,Zadora Limited,Rock crystal; Carnelian; Sapphire; Agate,,20th Century,"sculpture; bird; nest; ""Zadora"" signature and possible engraved goldsmith initials"
La Virgen de Tecuaque (Virgin of Tecueque),Sculptures,00486,Mexico,Wood; Polychrome,75 x 30 cm,18th Century,sculpture; religious; woman; Virgin Mary
Nude Girl Running (Art Nouveau) Bronze,Sculptures,00909,,Bronze,18 in,,"sculpture; art nouveau; nude woman; walking; scarf; Name on the base, Enis"
Statue of Woman Sitting on Brick Colored Clay Throne,Sculptures,01049,,Clay,9.10 x 4.20 cm,,sculpture; woman; sitting; throne; scarf; dress
Clay Statue of Woman in Ceremonial Garb,Sculptures,01049,,Clay,15.90 cm,,sculpture; woman; standing; basket; dog
"Abstract Sculpture, White Marble",Sculptures,00565,Henry Klar; Gloria Klar,Marble,36 x 6 in,20th Century,sculpture; abstract art; white; No markings
Walking Grizzly,Sculptures,00701,Ace Powell,Bronze,25 x 10.75 x 6 in,,sculpture; bear; walking; # 4 of 30
"Zushi, Japanese Shrine",Other - Altar,00975,Japan,Wood gilt,13 in,Edo Period,shrine; sculpture; Buddha; trees; lotus
Dragon on Parade,Collectibles, 01130, Margaret Keane, Oil on canvas, Height: 20 in; Width: 27 in, Mid 1960's," ""Keane"" in lower left"
Clyde Drexler rookie cards,Collectibles, 00956, Unknown, Basketball cards,,, No Image Associated with this Item
Pomes Penyeach,Collectibles, 00895, James Joyce, Printed paper, 19.00 cm, 1933,
Case of Leaf Baseball Cards,Collectibles, 00956,, baseball card,,,
The Ring Magazine Award World Middleweight Championship Boxing Belt Trophy 1941,Collectibles, 00943,, Gold plated zinc; ribbon; enamel," Length: 34.5"" (approximately); Width: 6"" (approximately)", 1941,
Replica Lunar Module of Neil Armstrong,Collectibles, 00946, Cartier, Gold," 5"" height x 4.5"" square", 1974, Label on side.
The Ring Magazine Award Boxing Belt Trophy 1955,Collectibles, 00943,, Gold plated zinc; ribbon; enamel," Approximately 34.5"" length; 6"" width", 1955,
Stadium Club II baseball cards,Collectibles,00956,,baseball card,,,
The Ring Magazine Award World Middleweight Championship Boxing Belt Trophy 1957,Collectibles,00943,,Gold plated zinc; Ribbon; Enamel,(Approximately) Length: 34.5 in.; Width: 6 in.,1957,
Michael Jordan star rookie cards,Collectibles,00956,,basketball cards,,,
Stadium Club baseball cards,Collectibles,00956,,baseball card,,,
The Ring Magazine Award World Middleweight Championship Boxing Belt Trophy 1948,Collectibles,00943,,Gold plated zinc; ribbon; enamel,"Approximately Length: 34.5"" ; Width: 6""",1948,Left emblem
New York State Welterweight Title Belt Trophy 1953,Collectibles,00943,,Gold plated zinc; ribbon; enamel,"Approximately 34.5"" length; 6"" width",1953,
The Ring Magazine Award World Welterweight Championship Boxing Belt Trophy 1956,Collectibles,00943,,Gold plated zinc; ribbon; enamel,"Approximately 34.5"" length; 6"" width",1956,
David Robinson Fleer rookie cards,Collectibles,00956,,basketball cards,,,
Michael Jordan Fleer rookie cards,Collectibles,00956,,Basketball cards,,,
Easter Lily Window,Other - Arts and Antiques,00758,Louis Comfort Tiffany,Glass,"63.5"" x 15""",1894,"""In Memoriam"""
Los Reyes Magos (Three Magi),Other - Arts and Antiques,00687,Arnaldo Maas,Etching over opaline glass,16 x 20 in,20th Century,Signed in lower right corner
3 Cent Blue,Collectibles,00276,National Banknote Company,Paper,,1869,"stamp; Centennial Exposition; Two blind perfs at left, tiny perf crease at lower right"
1898 Trans-Mississippi Exposition Issue,Collectibles,00276,Unknown,Stamp,,,"No Image Associated with this Item; Overprinted ""Specimen""; some lower values with small thin spots; a few straight edges"
Paul Hart Cello,Instruments, 00743, Paul Hart, Maple spruce, 26.20 x 27.00 cm, 2007-2008," cello; Paul Hart stamped on inside, number 487 written by hand below stamped name."
Sinsheimer Stradivari,Instruments, 00866, Antonio Stradivari, Maple spruce, 35.50 x 168.00 x 112.00 x 207.00 cm, 1721, violin; musical instrument; labelled on interior with date of 1721
Martin Schleske Violin,Instruments,00866,Martin Schleske,Wood,,2000,violin; musical instrument
Francesco Ruggieri Violin,Instruments,00021,Francesco Ruggieri; Italy,Wood,,1673,violin; music; Labeled inside
Pecatte Violin Bow,Instruments,00866,Charles Pecatte,Wood,,,violin bow
Davidov-Morini Stradivarius,Instruments,00443,Antonio Stradivarius,Wood,,1727,violin
Stradivarius,Instruments,00350,Antonio Stradivari,Wood,,,violin
Mandala (Orange),Textiles, 00258, Asian, Fabric, 28 x 17 in, 20th Century," tapestry, tanka, seated figure, religious"
Depunghara,Textiles, 00258, Nepalese, Fabric, 3.5 x 2.5 in, 1665," tapestry,standing figure, seated figure, religious"
Antique Flemish Tapestry,Textiles, 01102, Flemish, Wool silk, 108 x 156 in, 16th-17th Century, tapestry; men; women; gowns; Renaissance
Jardain de Veronique,Textiles, 00791," Alain Hieronimus; Aubusson, France",, 66.5 x 55.25 in, 1966, tapestry; abstract art; brown; black; signed lower right
Green Tara Buddhist Tapestry,Textiles, 00258, Asian, Fabric, 17 x 12 in, 1750-1800," tapestry, tanka,Buddhism, tara"
Country Scenes,Textiles, 00100,, tapestry; exterior; woman; kneeling; garden, 6 ft 7 in x 9 ft 10 in, 17th Century,
Burmese Tapestry with Thai Figure Motif,Textiles, 00512, Burma,, 10 ft x 5 ft, 20th Century, tapestry; Asian; figures; Buddhist
Tanka With Buddha Figure 1 of 3,Textiles,00258,Asian,Fabric; gold leaf,28 x 18 in,19th Century,"tapestry, tanka, Buddhism"
King of Shangrila,Textiles,00258,Asian,Brocade,30 x 23 in,1800-1850,"tapestry, tanka,king, seated figure, religious"
English Needlework Sampler,Textiles,01121,Unknown (English),Needlework,,Early 18th Century,
Five Lamas Seated,Textiles,00258,Asian,Brocade,30 x 17 in,18th Century,"tapestry, tanka, seated figure, lama, religious"
Sacred Diagram of the Cosmos,Textiles,00258,Asian,Brocade,32 x 28 in,18th Century,"tapestry, tanka, Buddhism, geometric"
Purdue/West Lafayette,Textiles,00501,Cherlene Marsh,Cotton; Wool,42 x 114 in,1995,tapestry; night; stars; deer; bison; birds; wolves; buildings; Artist's name tufted in red wool in lower right corner
Renaissance Tapestry,Textiles,01008,,Wool silk,100 x 104 in,19th Century,tapestry; women; men; standing; fountain; flowers; guitar
Buddhist Bright Green Tapestry,Textiles,00258,Asian,Fabric,30 x 21 in,1850-1900,tapestry; Buddha
Buddha with Two Attendants on Lion Throne,Textiles,00258,Asian,Fabric,24 x 16 in,,"tapestry, tanka, Buddha"
The Story of Anthony and Cleopatra,Textiles,00100,,,11 x 8 ft,Late 16th century,Tapestry; men; boat
Burst,Textiles,00639,A. Gottlieb,Textile,6 x 8 ft,,"tapestry; abstract art; orange; black; Artist name ""A. Gottlieb"" appears in lower right hand corner of tapestry"
#9,Textiles,00658,Alexander Calder,,5 x 8 ft,1969,tapestry; abstract art; circles; Signed and dated lower right
Clock and Candelabras,"Clock, Timepiece",00183,,Gilt bronze,,1880's,Clock
Red Marble and Gold Stanchioned Mantel Clock,"Clock, Timepiece",00240,French,Marble; gold plated bronze,33.5 in,Circa 1865,mantel clock; nude woman; Clock signed on back plate Lesieur; #45
Musical Automata,"Clock, Timepiece",00575,Frisard Bienne and Jaquet Droz,Bronze and steel,"Diameter: 5"" ; Height: 7""",c. 1794,Pastoral setting with figures and birds under a gilded palm tree.
Rutile Quartz Mouse Clock,"Clock, Timepiece",00911,Zadora Limited,Quartz; citrine; sapphire; diamond; enamel; jade,,20th Century,"clock mouse ""Zadora"" signature and possible engraved goldsmith initials"
"Grey Agate Elephant Clock, Enamel and Rock Crystal","Clock, Timepiece",00911,Zadora Limited,Agate; gold; enamel; rock crystal,,20th Century,"No Image Associated with this Item; ""Zadora"" signature and possible engraved goldsmith initials"
French Mantel Clock Between Nudes,"Clock, Timepiece",00240,French,Bronze; Marble; Porcelain; Gold plated,32.5 x 21 x 9 in,Circa 1880,mantel clock; nude woman; cupid
French Mantel Clock with Curved End Panels,"Clock, Timepiece",00240,French,Gold plated porcelain,19 x 19 x 10 in,,mantel clock; cherub; boys; wings; drum; horn; Dial is signed De-Niere A Paris R De-Nure A Paris
Red Marble House Mantel Clock,"Clock, Timepiece",00240,,Bronze; Marble,27 x 12 x 12 in,Circa 1875,mantel clock; woman; harp; Clock is signed Ch. Boye; sculpture is unsigned; #1884
Aquamarine Seahorse Clock,"Clock, Timepiece",00911,Zadora Limited,Aquamarine; Rock crystal; Gold; Diamond; White guilloche enamel,,20th Century,"""Zadora"" signature and possible engraved goldsmith initials"
Faberge Clock with Lion Base,"Clock, Timepiece",00956,Faberge; Henrik Immanuel Wigstrom,silver; gold; enamel; diamonds; pearls,2.5 x 3.25 x 0.75 in,1895-1905,"Clock in shape of a half-oval on reclining lion base, giving the impression of a coach. Classical Egyptian style gold base with four reclining lions supporting the clock frame. Small clock face is 0.5"" diameter surrounded by rose gold beaded border followed by a border of pearls embedded in yellow gold. Rose gold delicate scroll swirls with embedded tiny diamonds on each side. Winding mechanism is a gold Faberge double headed eagle on ball with crown. It is in rose gold with base bordered in small beads in yellow gold. Long drop scrolls with pearls and accented with approximately .10 carat diamonds down each side of dome. Ivory back, green chinoiserie enameling on the sides with white enameling on the front face. No missing stones. Clock; Lions; Eagle"
Red Tortoise Shell Clock,"Clock, Timepiece",00052,Markham Perical,Tortoise shell; Gold,16 in,Circa 1760,"clock; Maker ""Markham Perical"" on clock"
Astronomia Monopoly Watch,"Clock, Timepiece",01218,Jacob & Co,White gold; diamond,50 mm,,watch; timepiece; model no
French Gold Pocket Watch with Biblical Enamel Scene,"Clock, Timepiece",00617,France,Gold,Diameter: 1.75 in.,Circa 1765,"pocket watch; religious; Engraved ""Les Freres Esquivillows Et DeChoudons Paris"""
Sundial in Memory of Felipe De Neve,"Clock, Timepiece",00964,,Concrete; bronze,Height: 36 in; Diameter: 14 in,1900-1966,"sundial; Plaque on front of sundial ""IN MEMORY OF FELIPE DE NEVE WHO SURVEYED THIS PUEBLO IN 1781"""
Madonna and Child Icon,"Icons, Triptychs, Diptychs",00285,Sergei Gusev,Silver,,Late 19th Century,icon; Virgin Mary; child; Inscribed
"Madonna and Child, angel in upper left","Icons, Triptychs, Diptychs",00669,Turkey; Byzantine,Tempera on wood gold leaf,18 x 14 in,13th Century,"icon; Virgin Mary; Jesus Christ; baby; angel; Script on back; The Virgin's mouth is unusually naturalistic for the period. Her skin tone is lighter than usual being a pale brown with yellow overtones, also the nose and neck (especially long) are thicker than usual. The wood panel is curved and the back has been treated for wood-worm"
The Baptism of Christ,"Icons, Triptychs, Diptychs",01060,Russian,Tempera on wood,86.00 x 54.00 cm,17th Century,"icon, religious, Jesus Christ, saint, Cyrillic"
Life of Elijah,"Icons, Triptychs, Diptychs",01067,Russian,Tempera on wood,100.00 x 70.00 cm,15th Century,"icon, religious, Elijah"
The Entry of Christ into Jerusalem,"Icons, Triptychs, Diptychs",01060,Russian,Tempera on wood,82.00 x 52.00 cm,17th Century,"icon, religious, Jesus Christ, Jerusalem, Cyrillic"
Mother of God (of Smolenskaya),"Icons, Triptychs, Diptychs",00360,Russian,Enamel on copper,Open: Height: 12 cm.; Width: 8 cm.,19th Century,
The Transfiguration of Christ,"Icons, Triptychs, Diptychs",01060,Russian,Tempera on wood,87 x 53 cm,17th Century,"icon, religious, Jesus Christ, Cyrillic"
The Life of St. Nicholas,"Icons, Triptychs, Diptychs",01067,Russian,Tempera on wood,130 x 90 cm,15th Century,"icon, religious, St. Nicholas"
Lazarus Raised from the Dead,"Icons, Triptychs, Diptychs",01060,Russian,Tempera on wood,86 x 55 cm,17th Century,icon; religious; Lazarus; Cyrillic
Three Angels Visiting Abraham,"Icons, Triptychs, Diptychs",01060,Russian,Tempura on wood,86.00 x 53.00 cm,17th Century,"icon, religious, Abraham, angel, Cyrillic"
Elephant (vase),Vases, 00409, Galle, Glass,,, vase; elephant
Tobia Scarpa Ochi Vase,Vases, 00881, Venini & Co.; Murano, Glass, 8 in,, vase
Moche Face Jug,Vases, 00471, Moche, Ceramic; polished, 15.7 cm x 10.5 cm x 9 cm, 100-550 AD, MCH-140
Large Venni Handkerchief Vase,Vases, 00881, Venini & Co., Glass, 12 in,, vase
Barovier Intarsia Vase,Vases, 00881, Barovier, Glass intarsia, 12 in,, vase
1820s Vases,Vases, 00240,, vase; figures, 5 x 3 in, circa 1820,
Barovier Spina Vase,Vases, 00881, Barovier, Glass vase, Height: 10 in, 1940s-1950s, No Image Associated with this Item; Engraved signature
Oriente Vase,Vases, 00881, Dino Martens, Glass, 12 in,, vase
Flared Satsuma Vase,Vases, 00240, Satsuma,,"Base Diameter: 2.25""; Middle Diameter: 3.5""; Neck Diameter: 1.5 ""; Top Diameter: 3.5""", Circa 1790, vase; lord; servants
Venini Battuto Vase,Vases, 00881, Venini & Co, Glass vase, Height: 12 in,, No Image Associated with this Item; very worn; scratched at the bottom; acid stamp
Fratelli Toso Target Vase,Vases, 00881, Fratelli Toso, Glass, 12 in,, vase
Venini Murrine Vase,Vases, 00881, Venini & Co., Glass, 6 in,, vase; Internal cracks
"Celadon, Blue and Red",Vases, 00505, Chinese, Ceramic, 10 in, 18th-19th Century, vase; blue; red
"Cylindrical Vase from Classic Period (Maya, Guatemala)",Vases, 00906, Guatemala; Maya, Ceramic polychrome, 5.25 in, 750-800, vase; Pre-Columbian; man; sitting; jaguar
Style #16 Pamela Lange,Vases,01139,Mary Singer,Ceramic pot, Height: 9 in.; Width: 8 in.,,
Buccellati Silver Vase,Vases,00571,Buccellati,Silver jasper,,,Vase
Open Work #5213,Vases,00858,Clare Belfrage,blown glass and engraving,"8.5"" x 8"" x 2""",2013,artist's name engraved on bottom with signature
Style #11 Lange,Vases,01139,Teresita Naranjo,Ceramic pot,Height: 8.25 in; Width: 12.5 in,,
Cylinder Vase,Vases,00881,Venini &Co.,Glass,9 in,,vase
Art Nouveau Tri-Corner Vase,Vases,00909,Majorelle,vase; art nouveau,18 in,,
Nuutajarvi Leopard Spot Vase,Vases,00881,Nuutajarvi,Glass,8 in,,vase; engraved signature
Seguso Corroso Vase,Vases,00881,,Glass corroso,8 in,,"vase; unsigned, 017461"
