,Title,Category,Ref_Num,Maker_Artist,Materials,Measurements,Time Period,Additional Information
498,Boy Doll with Porcelain Face,Dolls and Figurines,00909,,Porcelain hair,,Circa 1910,doll; boy; brunette
478,Louisette,Dolls and Figurines, 00909, France; Limoges, Porcelain composition; hair,, Prior to 1914," doll; girl; brunette; Signed by the maker, LIMOGES"
604,Wilfredo Lam Double-headed Quadraped,"Drawings, Watercolors",00861,Wilfredo Lam,Ink on paper,18.25 x 13.5 in,,drawing; animal
638,Henry Fonda | Ludwig Beethoven | Claude Monet | Golda Meier | Myrna Loy | Ytsak Perlman | Arturo Tuscanini | Herman Wouk | Vladimir Hurwitz | Moses,"Drawings, Watercolors",00728,Phillip Ratner,Pencil on paper,20 x 11 in,1970-1980,drawing; portrait; man; woman; Henry Fonda; Ludwig Beethoven; Claude Monet; Golda Meier; Myrna Loy; Ytsak Perlman; Arturo Tuscanini; Herman Wouk; Vladimir Hurwitz; Moses; Signed
540,Cheyenne,"Drawings, Watercolors", 00200, Gregory Perillo, Pen and ink on paper, 20 x 16 in, 20th Century," drawing; portrait; profile; man; Native American; feathers; signed ""Perillo"" bottom center"
529,Country Scene by C. Scholkem,"Drawings, Watercolors", 00141, C. Scholkem, Chalk on paper, 6 9/16 x 11 5/8 in,, drawing; exterior; buildings; trees; fence
4475,Lieutenant General Barton K. Yount,"Drawings, Watercolors",00727,Norman Rockwell,Pencil on paper,24 x 18 in,,"drawing; portrait; man; military; uniform; hat; ""Norman Rockwell"" in block lettering lower right"
520,Moonstone,"Drawings, Watercolors", 00964, Judith M. Craig, Pencil on paper, 11 x 13 in, 1972," drawing; signed lower right ""Moonstone, April 1972"""
639,Study of Hands 2,"Drawings, Watercolors",00361,Jose Clemente Orozco,Ink on paper,"22.5"" x 15.25""",,
612,Apache,"Drawings, Watercolors",00200,Gregory Perillo,Pen and ink on paper,20 x 16 in,20th Century,"drawing; portrait; profile; man; Native American; Signed ""Perillo"" lower right"
584,Flowers in a Vase (Lilacs),"Drawings, Watercolors",00819,Emilio Sanchez,Crayon on paper,13.5 x 10.25 in,20th Century,"Drawing; Flowers; Signed lower left ""ES""; The work is an excellent condition. The frame was in very good condition (thick, solid, heavy wood frame with glass)"
581,Galiano Island,"Drawings, Watercolors", 00194, Tori Onley, Watercolor on paper, 10.5 x 14.5 in,, watercolor; landscape
626,Drawing Quadruped,"Drawings, Watercolors",00861,Wilfredo Lam,Ink on paper,18 x 14 1/8 in,,drawing; quadruped
614,At the Market,"Drawings, Watercolors",00761,Jacques Onfroy de Breville,Ink paper,4 x 7.5 in,Birth/Death Dates,"drawing; table; market; signed with a stamp ""JOB"" within a circle"
656,Black and Snow Ikebana Drawing,"Drawings, Watercolors",00872,Dale Chihuly,,30 x 22 in,,Drawing
583,Femme au Collier,"Drawings, Watercolors",00348,Henri Matisse,Pen and ink on paper,12.5 x 9.5 in,1943,"drawing; portrait; woman; earrings; necklace; Signed ""HM"" lower right corner"
4493,A Sacrifice to Diana,"Drawings, Watercolors",00954,Luigi Ademoldo,Pen and ink on paper drawing,,,No Image Associated with this Item
4460,"Album of Plants, Animals and Birds: Crab","Drawings, Watercolors",00356,Chen Chia-yen; China,Ink on paper,28.00 x 24.00 cm,1368-1643,drawing; Asian; crab; plants; Seals of artist lower left and lower right
542,Abduction of Persephone,"Drawings, Watercolors", 01032, Luca Cambiaso, Pen and ink, 11 1/4 x 6 3/8 in, 1527-1585, drawing; nude man; nude woman; dog; chariot
617,Sheet of Studies of Putti and heads (recto); Nude Male (verso),"Drawings, Watercolors",00954,Pietro Testa,Ink; chalk; paper,47.50 x 25.70 cm,1611-1650,drawing; nude man; men
4458,Study for Boy Leading a Horse,"Drawings, Watercolors",00348,Pablo Picasso,Charcoal on paper,9.5 x 6.25 in,1905,"drawing; nude man; bald; walking; Signed ""Picasso"" upper left corner"
